% Moku:Go Frequency Response Analyzer
% Measurement mode: In / Out (dB)
% Channel 1 (on), AC , 1 MOhm , 10 Vpp, amplitude 5 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Channel 2 (off), DC , 1 MOhm , 10 Vpp, amplitude 100 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Logarithmic sweep from 1.000000 kHz to 200.0000 kHz with 8,192 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 935.0 ns (auto), normalization off
% Averaging time 2.00 ms, 3 cycles; Settling time 100 us, 1 cycles
% 
% Acquired 2026-04-23 T 11:28:44 +0200
% Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
1.19236925e+03, 2.8263e-01, -1.8065e+02
1.19314078e+03, -1.3203e-01, -1.8120e+02
1.19391281e+03, -1.4893e+00, -1.7951e+02
1.19468534e+03, -7.2474e-01, -1.8544e+02
1.19545836e+03, 6.3577e-02, -1.8339e+02
1.19623189e+03, 6.6378e-02, -1.7726e+02
1.19700592e+03, -9.1829e-01, -1.7818e+02
1.19778045e+03, -1.5640e+00, -1.8705e+02
1.19855548e+03, -4.3623e-01, -1.8348e+02
1.19933101e+03, -7.0546e-01, -1.8357e+02
1.20010705e+03, -3.5256e-01, -1.7876e+02
1.20088358e+03, -2.1737e-01, -1.7890e+02
1.20166062e+03, -5.4599e-01, -1.8361e+02
1.20243816e+03, 1.3636e-01, -1.8329e+02
1.20321621e+03, -1.9703e-01, -1.7891e+02
1.20399476e+03, -1.2195e+00, -1.7971e+02
1.20477381e+03, -8.6390e-01, -1.8335e+02
1.20555337e+03, -7.0825e-01, -1.8350e+02
1.20633343e+03, -7.2394e-02, -1.8458e+02
1.20711399e+03, 9.0045e-01, -1.7350e+02
1.20789506e+03, -8.7140e-01, -1.8110e+02
1.20867664e+03, -1.2107e+00, -1.8056e+02
1.20945872e+03, -1.5077e+00, -1.8748e+02
1.21024131e+03, -3.4680e-01, -1.8246e+02
1.21102440e+03, 9.9398e-02, -1.7897e+02
1.21180800e+03, -2.0499e-01, -1.7919e+02
1.21259211e+03, -1.1553e+00, -1.7777e+02
1.21337672e+03, -3.6967e-01, -1.8402e+02
1.21416185e+03, -8.7130e-01, -1.8368e+02
1.21494748e+03, -6.3982e-01, -1.8211e+02
1.21573361e+03, -3.5991e-01, -1.8296e+02
1.21652026e+03, -2.4494e-01, -1.8229e+02
1.21730742e+03, -3.3337e-01, -1.7967e+02
1.21809509e+03, -5.3902e-01, -1.8209e+02
1.21888326e+03, -7.8507e-01, -1.8409e+02
1.21967195e+03, -1.0575e-01, -1.8130e+02
1.22046114e+03, -7.8880e-02, -1.8025e+02
1.22125085e+03, -4.7482e-01, -1.7949e+02
1.22204107e+03, -8.6864e-01, -1.8106e+02
1.22283180e+03, -1.5323e+00, -1.8051e+02
1.22362304e+03, -1.3662e+00, -1.8485e+02
1.22441479e+03, -5.1883e-01, -1.8570e+02
1.22520705e+03, -3.8092e-01, -1.8365e+02
1.22599983e+03, -3.6716e-01, -1.8047e+02
1.22679312e+03, -6.6395e-01, -1.8020e+02
1.22758692e+03, -4.9175e-01, -1.7903e+02
1.22838124e+03, -1.0618e+00, -1.8000e+02
1.22917607e+03, -1.1264e+00, -1.8207e+02
1.22997142e+03, -1.1184e+00, -1.8308e+02
1.23076728e+03, -8.1727e-01, -1.8126e+02
1.23156365e+03, -1.2418e-01, -1.8209e+02
1.23236055e+03, -4.5692e-02, -1.8280e+02
1.23315795e+03, -1.4505e-01, -1.8266e+02
1.23395587e+03, -1.5613e-01, -1.8017e+02
1.23475431e+03, -7.4915e-01, -1.7610e+02
1.23555327e+03, -1.2060e+00, -1.8066e+02
1.23635274e+03, -1.4888e+00, -1.7960e+02
1.23715273e+03, -9.1503e-01, -1.8328e+02
1.23795324e+03, -8.8011e-01, -1.8322e+02
1.23875426e+03, -5.4262e-01, -1.8088e+02
1.23955580e+03, -6.2761e-01, -1.8122e+02
1.24035787e+03, -3.1756e-01, -1.8371e+02
